iter	RMSE
0	13.83450628
1	13.40878896
2	12.9750529
3	12.61744946
4	12.24752426
5	11.89974215
6	11.5319031
7	11.18987564
8	10.8335943
9	10.50626169
10	10.20560312
11	9.919152824
12	9.629506268
13	9.326758406
14	9.053191056
15	8.779031721
16	8.513637155
17	8.259454754
18	8.037527094
19	7.782248229
20	7.564148739
21	7.357067308
22	7.141778523
23	6.932644777
24	6.73101841
25	6.534317038
26	6.360673769
27	6.182872781
28	6.004233468
29	5.840974082
30	5.663802314
31	5.497584428
32	5.353110336
33	5.198212921
34	5.072099024
35	4.928189852
36	4.787124121
37	4.662163757
38	4.520623697
39	4.386066196
40	4.25641288
41	4.146266169
42	4.036176646
43	3.930357898
44	3.816262016
45	3.711362069
46	3.619715367
47	3.519944983
48	3.428978021
49	3.327370911
50	3.238923336
51	3.15378212
52	3.068460013
53	2.994838664
54	2.91451291
55	2.83965262
56	2.777296698
57	2.70958599
58	2.642090141
59	2.573675164
60	2.507937876
61	2.447434821
62	2.387164497
63	2.327586127
64	2.272853722
65	2.222452294
66	2.166427532
67	2.119747943
68	2.072774536
69	2.020927592
70	1.976320901
71	1.932051115
72	1.884909554
73	1.843153206
74	1.8000876
75	1.758910739
76	1.719047512
77	1.682548449
78	1.645213582
79	1.606731807
80	1.573414477
81	1.543178695
82	1.514222262
83	1.480471858
84	1.45305909
85	1.422944996
86	1.394149049
87	1.363482908
88	1.334410507
89	1.311222358
90	1.287274825
91	1.263265025
92	1.240998177
93	1.218666643
94	1.19827369
95	1.176348201
96	1.155076153
97	1.134933178
98	1.115278793
99	1.09488231
100	1.075813741
101	1.056528575
102	1.040158259
103	1.02338307
104	1.008234473
105	0.9919331363
106	0.9761706478
107	0.9612787304
108	0.9464130885
109	0.9324399634
110	0.9180904185
111	0.9063423448
112	0.8939964609
113	0.8818966275
114	0.8704255868
115	0.8590618193
116	0.8481193162
117	0.8369707773
118	0.8297308779
119	0.8197899189
120	0.8109547988
121	0.8002044916
122	0.7920261612
123	0.7832722658
124	0.7756002466
125	0.7659107258
126	0.7566808344
127	0.7476506419
128	0.7405013915
129	0.7317590168
130	0.724872718
131	0.7175509938
132	0.7102729878
133	0.7064589658
134	0.6994854924
135	0.6934017837
136	0.6884553373
137	0.6864417772
138	0.6794401682
139	0.6728135851
140	0.6671890271
141	0.6649939551
142	0.6591958717
143	0.6530343439
144	0.6478705689
145	0.6440001817
146	0.6412677071
147	0.6360763007
148	0.6317721913
149	0.6272150432
150	0.6253884411
151	0.6209661055
152	0.6159561379
153	0.6111346433
154	0.6093634776
155	0.6053463847
156	0.6013788042
157	0.5966185077
158	0.5925248566
159	0.588168237
160	0.5868718177
161	0.5856239584
162	0.5840674392
163	0.5800814147
164	0.5761532537
165	0.5724971325
166	0.5696387217
167	0.5663296637
168	0.5637247246
169	0.5606541478
170	0.5594746124
171	0.5584243293
172	0.5546160719
173	0.5530786349
174	0.5494432516
175	0.5483372197
176	0.5473731265
177	0.543743065
178	0.5425389597
179	0.539836131
180	0.5382174439
181	0.5368189312
182	0.5352838594
183	0.5323962926
184	0.5306918377
185	0.5297410421
186	0.5288069108
187	0.5278563071
188	0.5269344286
189	0.5261046719
190	0.5248700613
191	0.5225322321
192	0.5217968091
193	0.5205691286
194	0.5192749291
195	0.5159127616
196	0.5149982535
197	0.5142722692
198	0.5102806788
199	0.5092640788
200	0.5067130478
201	0.5059570724
202	0.5051272773
203	0.5038601118
204	0.5013464724
205	0.4983277442
206	0.4971569581
207	0.4964981042
208	0.4940405543
209	0.4933964365
210	0.4922600707
211	0.4913368958
212	0.4896423046
213	0.4890413094
214	0.4878104513
215	0.4871511927
216	0.4866072895
217	0.4856687403
218	0.4851432574
219	0.4823259601
220	0.4818018053
221	0.4787300818
222	0.4782286137
223	0.4774346301
224	0.4768830074
225	0.4760955654
226	0.4755667084
227	0.4748353173
228	0.4739010897
229	0.4734049034
230	0.4705267103
231	0.4684234579
232	0.4679533949
233	0.4674940132
234	0.4667143044
235	0.4657673646
236	0.4640583912
237	0.4623340256
238	0.4619129151
239	0.4613315843
240	0.4609292237
241	0.460370764
242	0.4600780095
243	0.4595429242
244	0.4567735978
245	0.4542567437
246	0.451761652
247	0.4514015469
248	0.4487885751
249	0.4484463443
250	0.44807205
251	0.447745173
252	0.4473888183
253	0.4453489519
254	0.4449100164
255	0.4446102354
256	0.4441921248
257	0.4424624677
258	0.4421792802
259	0.4419034954
260	0.4401889239
261	0.4382796892
262	0.4360029171
263	0.4338502264
264	0.4334864225
265	0.4332336886
266	0.4315496353
267	0.4313053831
268	0.4310404272
269	0.4295373361
270	0.4286993317
271	0.4276956864
272	0.4259923611
273	0.4256917649
274	0.4240303689
275	0.4225333963
276	0.421927701
277	0.4202714217
278	0.4200031309
279	0.4183683439
280	0.4168610296
281	0.4150130381
282	0.413516993
283	0.4121524517
284	0.4107167891
285	0.4105371729
286	0.4103616482
287	0.4091575661
288	0.4089374068
289	0.4077828542
290	0.4076074624
291	0.4061549066
292	0.4044245992
293	0.4042661021
294	0.4028012618
295	0.402127186
296	0.401081078
297	0.3997217171
298	0.3995659156
299	0.3982896618
300	0.3981378798
301	0.3979902633
302	0.3965991862
303	0.3949421636
304	0.3933274188
305	0.3924554031
306	0.3906856822
307	0.3893380645
308	0.3883692352
309	0.3869213597
310	0.3854678686
311	0.384294925
312	0.3832744046
313	0.383147908
314	0.3820366576
315	0.3819210492
316	0.3818054069
317	0.3816892522
318	0.3815788637
319	0.3799839319
320	0.3784987804
321	0.3773258731
322	0.3762539471
323	0.3751800262
324	0.3744413936
325	0.3733906246
326	0.3717630153
327	0.3707648367
328	0.369460311
329	0.3693683145
330	0.36842715
331	0.3674607373
332	0.3673681047
333	0.3659362394
334	0.3649713604
335	0.3641837017
336	0.3632382827
337	0.362173477
338	0.3614419924
339	0.3605334315
340	0.3593395562
341	0.3581016647
342	0.3568520642
343	0.3559384956
344	0.3549582721
345	0.3537269534
346	0.3526803715
347	0.3511618745
348	0.3504802536
349	0.3492600621
350	0.3479488969
351	0.3472780653
352	0.3461381756
353	0.345061174
354	0.3441585782
355	0.3432861362
356	0.3423052647
357	0.3411390512
358	0.3396610763
359	0.3387767446
360	0.3377274102
361	0.3368114266
362	0.3359498255
363	0.3352496048
364	0.3346592889
365	0.3338357527
366	0.3330950588
367	0.3321130004
368	0.3315736793
369	0.3303288731
370	0.3297048689
371	0.3290455664
372	0.3280935801
373	0.327606093
374	0.3270682857
375	0.3263358854
376	0.3258525042
377	0.3250935648
378	0.3238170049
379	0.3227871295
380	0.3220575881
381	0.321209861
382	0.3204231048
383	0.3196949116
384	0.3190837552
385	0.3186247012
386	0.3176358124
387	0.3171444784
388	0.3159613472
389	0.3154848928
390	0.3147714415
391	0.3141804632
392	0.3132785134
393	0.3120178529
394	0.3112334603
395	0.3107648142
396	0.3102347905
397	0.3097365673
398	0.3091050513
399	0.3085737418
400	0.3080786234
401	0.3071677189
402	0.306527891
403	0.3059702542
404	0.3052672448
405	0.3046292642
406	0.303723147
407	0.3030437553
408	0.3018215195
409	0.3013199165
410	0.3006223997
411	0.3002915404
412	0.2996833912
413	0.2990162512
414	0.2985740065
415	0.2975225391
416	0.2969938267
417	0.2956588559
418	0.2947381975
419	0.2942667779
420	0.293730183
421	0.2931291941
422	0.2923697485
423	0.291593222
424	0.291252339
425	0.2908649046
426	0.2900678672
427	0.2892415786
428	0.2889705998
429	0.2879480493
430	0.2875177102
431	0.2871421817
432	0.2867698609
433	0.2861348046
434	0.2855685336
435	0.2850126985
436	0.284620957
437	0.2840668583
438	0.2837826031
439	0.2833907726
440	0.2830528697
441	0.2825743483
442	0.2820999424
443	0.2813583836
444	0.2804342082
445	0.2799088821
446	0.2795141658
447	0.2788498147
448	0.2783819823
449	0.277879402
450	0.2771466775
451	0.2770432293
452	0.276869759
453	0.2764716213
454	0.275795509
455	0.2752706667
456	0.2747621134
457	0.2742824294
458	0.2735303341
459	0.2728681899
460	0.2719274163
461	0.2718280716
462	0.271293194
463	0.2709317365
464	0.2705906356
465	0.2701936493
466	0.2692722451
467	0.2688858015
468	0.2684470165
469	0.2677568886
470	0.26738881
471	0.2668982908
472	0.2664484124
473	0.2659119946
474	0.2651242053
475	0.2646542984
476	0.2636630569
477	0.2628719646
478	0.262045665
479	0.261623312
480	0.2612139764
481	0.2608139913
482	0.2604573545
483	0.2600506602
484	0.2596383303
485	0.2590533612
486	0.2584832677
487	0.2579840197
488	0.2573109104
489	0.2569292489
490	0.2561751249
491	0.2556154787
492	0.2549758059
493	0.2542433953
494	0.2538520643
495	0.2535109429
496	0.2527109625
497	0.2521517011
498	0.2516154314
499	0.250964293
500	0.2503433189
501	0.2499699856
502	0.249608381
503	0.2491971549
504	0.2487314856
505	0.2482787652
506	0.2480164381
507	0.247485965
508	0.2470830834
509	0.2465826797
510	0.2459502526
511	0.2456486727
512	0.2452147972
513	0.244547852
514	0.2438198889
515	0.243312547
516	0.2427880163
517	0.2424784386
518	0.2419626732
519	0.2415918764
520	0.2412424814
521	0.240644489
522	0.2404692704
523	0.2402143171
524	0.2399334718
525	0.2396164459
526	0.2393143592
527	0.2386868195
528	0.2382230712
529	0.2373800754
530	0.2371463408
531	0.2367374917
532	0.2364118634
533	0.2358654808
534	0.2354407495
535	0.2346623105
536	0.2343781295
537	0.2340330045
538	0.2335392139
539	0.233203487
540	0.2326102515
541	0.2320499495
542	0.2317607124
543	0.2311999802
544	0.2308098212
545	0.230548734
546	0.2299838976
547	0.2293725985
548	0.2288667564
549	0.228552886
550	0.2282237611
551	0.2278491602
552	0.2275873117
553	0.2268792045
554	0.2263341441
555	0.2260282842
556	0.2254542506
557	0.2251888953
558	0.2247880144
559	0.2244200529
560	0.2241625341
561	0.2239127737
562	0.2235382648
563	0.2232292678
564	0.2226473237
565	0.2223935792
566	0.2222234705
567	0.2218811275
568	0.2215415425
569	0.2212010295
570	0.2205464294
571	0.2202193797
572	0.2198898613
573	0.219664287
574	0.2193827143
575	0.2188316186
576	0.2184139782
577	0.2178622277
578	0.2174560756
579	0.2171777392
580	0.216825815
581	0.2165404983
582	0.2161456006
583	0.2158196232
584	0.2154079442
585	0.2150199514
586	0.214672635
587	0.2144160407
588	0.2141946595
589	0.2136428489
590	0.213177782
591	0.2128673094
592	0.2124114986
593	0.2118617586
594	0.2115470305
595	0.2112623784
596	0.2111018912
597	0.2106778708
598	0.2104223241
599	0.2100033759
600	0.2096312973
601	0.2093568837
602	0.2089459267
603	0.2087637498
604	0.2083867033
605	0.2081535828
606	0.2076781249
607	0.2072316011
608	0.206857274
609	0.2064256389
610	0.2062594409
611	0.205852943
612	0.2055071858
613	0.2053411903
614	0.2050090312
615	0.204858642
616	0.2046068853
617	0.2044005705
618	0.2041836636
619	0.2039557708
620	0.2036614779
621	0.2032748168
622	0.2029035099
623	0.2027853116
624	0.2025197985
625	0.2021376905
626	0.2017704208
627	0.2013407618
628	0.2009092176
629	0.2004469931
630	0.1999357612
631	0.1996632884
632	0.1991235763
633	0.1988035916
634	0.1985871247
635	0.198347902
636	0.198183331
637	0.1977821059
638	0.1973531409
639	0.1969953661
640	0.1965077194
641	0.196142534
642	0.1958155646
643	0.1954046392
644	0.1950081622
645	0.1945918401
646	0.1943133874
647	0.1939470015
648	0.1937622146
649	0.1935146607
650	0.1931925858
651	0.1929571653
652	0.1925864632
653	0.1924411189
654	0.1920385743
655	0.1918825861
656	0.1914647601
657	0.191045949
658	0.1908261168
659	0.1906004307
660	0.1903123147
661	0.189886818
662	0.1895261922
663	0.1891858961
664	0.1887819933
665	0.1884186953
666	0.188171303
667	0.1878812869
668	0.1876507911
669	0.1874523212
670	0.18717992
671	0.1869797271
672	0.186667654
673	0.1864451951
674	0.1861148212
675	0.1859093606
676	0.1856843366
677	0.1853951265
678	0.1850462239
679	0.1846835061
680	0.1845707582
