iter	Passed	Remaining
0	1	1770
1	5	2613
2	6	2285
3	8	2056
4	9	1888
5	10	1749
6	11	1647
7	13	1629
8	14	1569
9	15	1569
10	17	1543
11	19	1640
12	21	1628
13	22	1611
14	24	1597
15	27	1662
16	29	1679
17	30	1648
18	31	1614
19	32	1592
20	36	1691
21	38	1696
22	39	1670
23	40	1642
24	41	1621
25	42	1605
26	44	1598
27	45	1586
28	47	1579
29	49	1584
30	50	1572
31	51	1557
32	53	1563
33	54	1554
34	56	1547
35	57	1532
36	58	1516
37	59	1501
38	60	1494
39	62	1492
40	66	1545
41	67	1532
42	68	1521
43	70	1523
44	71	1513
45	72	1509
46	74	1502
47	75	1492
48	76	1482
49	77	1474
50	81	1518
51	83	1517
52	84	1507
53	85	1503
54	86	1494
55	88	1497
56	90	1489
57	91	1487
58	92	1479
59	96	1508
60	97	1507
61	99	1504
62	101	1502
63	102	1499
64	104	1497
65	106	1508
66	109	1530
67	111	1530
68	113	1531
69	115	1538
70	117	1542
71	119	1543
72	121	1543
73	123	1543
74	126	1554
75	128	1562
76	130	1565
77	136	1607
78	139	1624
79	141	1631
80	144	1640
81	146	1638
82	148	1641
83	152	1658
84	158	1711
85	161	1713
86	163	1711
87	164	1708
88	166	1704
89	168	1701
90	173	1734
91	175	1730
92	176	1724
93	179	1727
94	180	1723
95	182	1719
96	187	1744
97	189	1744
98	191	1740
99	193	1737
100	194	1732
101	196	1727
102	198	1729
103	202	1747
104	204	1744
105	207	1746
106	208	1742
107	210	1737
108	212	1733
109	213	1730
110	218	1746
111	220	1744
112	222	1746
113	225	1754
114	228	1759
115	231	1760
116	233	1759
117	236	1764
118	238	1764
119	241	1769
120	243	1770
121	249	1797
122	250	1789
123	252	1783
124	254	1781
125	257	1783
126	258	1779
127	261	1784
128	265	1789
129	266	1784
130	268	1778
131	269	1772
132	271	1769
133	272	1763
134	274	1758
135	277	1763
136	278	1756
137	280	1751
138	281	1745
139	282	1737
140	283	1729
141	284	1721
142	286	1714
143	287	1707
144	289	1704
145	292	1708
146	294	1707
147	295	1701
148	297	1698
149	299	1695
150	300	1687
151	301	1682
152	303	1677
153	305	1677
154	307	1678
155	309	1673
156	310	1668
157	312	1663
158	315	1670
159	317	1665
160	318	1658
161	319	1651
162	320	1644
163	321	1639
164	322	1634
165	324	1629
166	325	1624
167	327	1620
168	328	1616
169	330	1611
170	331	1607
171	332	1599
172	333	1595
173	335	1591
174	338	1594
175	339	1588
176	339	1580
177	341	1574
178	342	1569
179	343	1564
180	345	1565
181	347	1562
182	349	1560
183	350	1555
184	352	1554
185	353	1548
186	355	1543
187	355	1536
188	356	1531
189	357	1525
190	358	1520
191	362	1525
192	363	1519
193	364	1514
194	366	1511
195	368	1509
196	370	1508
197	371	1503
198	373	1504
199	378	1512
200	380	1511
201	383	1514
202	384	1511
203	386	1508
204	389	1509
205	394	1521
206	396	1518
207	397	1512
208	399	1512
209	400	1506
210	401	1501
211	402	1497
212	404	1493
213	404	1487
214	409	1494
215	410	1488
216	411	1484
217	412	1481
218	414	1476
219	415	1474
220	417	1471
221	419	1468
222	422	1473
223	423	1467
224	424	1461
225	425	1456
226	426	1450
227	427	1446
228	428	1442
229	428	1436
230	430	1432
231	431	1428
232	432	1422
233	432	1416
234	434	1414
235	440	1427
236	444	1430
237	446	1429
238	447	1423
239	448	1418
240	448	1413
241	449	1407
242	451	1405
243	452	1400
244	453	1396
245	454	1392
246	455	1388
247	456	1383
248	457	1379
249	457	1373
250	458	1369
251	459	1364
252	460	1359
253	462	1357
254	463	1352
255	463	1347
256	464	1342
257	465	1339
258	466	1335
259	467	1330
260	468	1326
261	469	1322
262	470	1318
263	471	1315
264	472	1310
265	473	1305
266	477	1310
267	478	1306
268	479	1302
269	480	1299
270	481	1295
271	482	1292
272	484	1289
273	485	1285
274	486	1282
275	487	1279
276	490	1279
277	491	1276
278	492	1273
279	494	1271
280	497	1273
281	499	1272
282	501	1269
283	502	1267
284	505	1268
285	506	1265
286	507	1260
287	508	1257
288	509	1252
289	510	1250
290	511	1246
291	512	1243
292	514	1241
293	515	1236
294	516	1234
295	518	1232
296	521	1235
297	523	1233
298	524	1229
299	525	1226
300	526	1221
301	526	1217
302	527	1213
303	529	1211
304	530	1208
305	531	1206
306	534	1206
307	536	1205
308	538	1204
309	539	1201
310	540	1198
311	542	1195
312	543	1192
313	544	1188
314	546	1188
315	547	1184
316	550	1185
317	551	1181
318	552	1178
319	553	1176
320	555	1175
321	558	1175
322	559	1173
323	561	1171
324	565	1175
325	568	1176
326	570	1174
327	572	1173
328	575	1173
329	576	1169
330	577	1167
331	580	1168
332	581	1164
333	584	1165
334	586	1163
335	588	1163
336	590	1161
337	592	1160
338	596	1162
339	598	1161
340	600	1161
341	603	1161
342	606	1161
343	608	1159
344	613	1164
345	615	1162
346	617	1161
347	620	1162
348	626	1169
349	629	1169
350	631	1168
351	633	1166
352	635	1164
353	637	1162
354	639	1161
355	642	1162
356	645	1161
357	646	1159
358	648	1158
359	650	1156
360	652	1154
361	658	1160
362	660	1159
363	664	1160
364	666	1160
365	670	1160
366	671	1158
367	674	1158
368	676	1156
369	677	1154
370	679	1152
371	681	1150
372	688	1157
373	690	1155
374	692	1154
375	694	1152
376	696	1150
377	698	1148
378	701	1149
379	703	1147
380	704	1144
381	706	1142
382	707	1140
383	710	1140
384	712	1137
385	713	1135
386	717	1136
387	719	1134
388	720	1131
389	722	1129
390	723	1126
391	724	1123
392	725	1121
393	727	1118
394	728	1116
395	732	1116
396	733	1113
397	734	1110
398	735	1107
399	737	1105
400	738	1102
401	739	1100
402	740	1097
403	741	1094
404	742	1091
405	744	1088
406	751	1094
407	753	1093
408	755	1092
409	757	1090
410	759	1088
411	761	1087
412	762	1084
413	764	1081
414	765	1079
415	767	1077
416	768	1074
417	770	1072
418	771	1069
419	772	1066
420	774	1064
421	775	1062
422	778	1061
423	779	1059
424	780	1056
425	781	1053
426	783	1051
427	785	1049
428	786	1046
429	787	1044
430	789	1042
431	792	1041
432	793	1039
433	795	1036
434	796	1034
435	797	1032
436	799	1030
437	802	1029
438	803	1027
439	806	1026
440	808	1024
441	810	1023
442	812	1021
443	813	1018
444	815	1016
445	816	1014
446	818	1012
447	824	1016
448	826	1014
449	828	1012
450	829	1009
451	830	1006
452	831	1004
453	832	1001
454	834	999
455	835	996
456	843	1001
457	844	999
458	845	996
459	847	994
460	848	992
461	849	989
462	850	986
463	855	987
464	856	985
465	858	983
466	859	980
467	860	978
468	861	975
469	863	973
470	864	971
471	869	972
472	870	970
473	873	969
474	875	968
475	877	965
476	878	963
477	879	960
478	886	964
479	888	962
480	889	959
481	890	957
482	892	955
483	893	953
484	895	950
485	900	952
486	902	950
487	904	948
488	905	946
489	907	944
490	909	942
491	910	940
492	916	942
493	917	940
494	919	938
495	920	935
496	922	933
497	923	931
498	924	928
499	926	926
500	932	929
501	934	927
502	936	924
503	937	922
504	939	920
505	940	918
506	941	915
507	946	916
508	948	914
509	949	912
510	950	910
511	952	907
512	953	904
513	954	902
514	956	900
515	957	897
516	963	900
517	964	897
518	966	895
519	967	893
520	969	890
521	970	888
522	971	885
523	972	883
524	980	886
525	981	884
526	982	881
527	984	879
528	985	877
529	987	875
530	988	872
531	995	875
532	996	873
533	998	871
534	999	869
535	1001	866
536	1003	865
537	1009	867
538	1012	866
539	1015	865
540	1018	863
541	1019	861
542	1021	860
543	1023	857
544	1024	855
545	1025	853
546	1027	850
547	1028	848
548	1029	845
549	1034	846
550	1035	843
551	1037	841
552	1038	839
553	1039	837
554	1041	834
555	1042	832
556	1043	830
557	1049	831
558	1050	828
559	1052	826
560	1053	824
561	1055	822
562	1056	820
563	1058	818
564	1065	820
565	1066	817
566	1067	815
567	1069	813
568	1070	810
569	1072	809
570	1074	807
571	1082	809
572	1083	807
573	1085	805
574	1087	804
575	1090	802
576	1093	801
577	1096	800
578	1098	798
579	1101	797
580	1109	800
581	1112	799
582	1116	798
583	1124	801
584	1127	799
585	1130	798
586	1132	796
587	1135	795
588	1140	795
589	1143	794
590	1146	793
591	1149	791
592	1156	793
